T:\DATA_2019\Etude_supercarburants_SVI\ech_01_hydro.D Fri Jan 10 12:35:05 2020,
Start of data points,Area
4.85808,1.07E+07
4.8619,1.38E+07
4.86572,1.74E+07
4.86953,2.15E+07
4.87333,2.54E+07
4.87715,2.90E+07
4.88097,3.20E+07
4.88478,3.43E+07
4.88858,3.60E+07
4.8924,3.69E+07
4.89622,3.67E+07
4.90003,3.52E+07
4.90383,3.24E+07
4.90765,2.83E+07
4.91147,2.37E+07
4.91528,1.92E+07
4.91908,1.54E+07
4.9229,1.25E+07
4.92672,1.05E+07
4.93053,8927464
4.93435,7657040
4.93815,6523022
4.94197,5489880
4.94578,4573807
4.9496,3793435
4.9534,3150394
4.95722,2637572
4.96103,2245044
4.96485,1945858
4.96865,1699017
4.97247,1471484
4.97628,1247830
4.9801,1029396
4.9839,829227
4.98772,655581
4.99153,516593
4.99535,410415
4.99915,333067
5.00297,280930
5.00678,256540
5.0106,277290
5.0144,386026
5.01822,659664
5.02203,1208972
5.02585,2143746
5.02965,3503198
5.03347,5200492
5.03728,7023855
5.0411,8690204
5.0449,9902372
5.04872,1.05E+07
5.05253,1.03E+07
5.05635,9670285
5.06017,8642108
5.06397,7526385
5.06778,6531004
5.0716,5721445
5.07542,5051677
5.07922,4443581
5.08303,3839332
5.08685,3223274
5.09067,2622544
5.09447,2072741
5.09828,1604385
5.1021,1232207
5.10592,950757
5.10972,741928
5.11353,592854
5.11735,498070
5.12117,458956
5.12497,482046
5.12878,573698
5.1326,733948
5.13642,947867
5.14022,1183007
5.14403,1395276
5.14785,1540226
5.15167,1589155
5.15547,1542322
5.15928,1424963
5.1631,1270654
5.16692,1112989
5.17073,979677
5.17453,887747
5.17835,838882
5.18217,817354
5.18598,799844
5.18978,766218
5.1936,707022
5.19742,625483
5.20123,533933
5.20503,444382
5.20885,365700
5.21267,303374
5.21648,258670
5.22028,227133
5.2241,204940
5.22792,187986
5.23173,174435
5.23553,163123
5.23935,154932
5.24317,151836
5.24698,159716
5.25078,186564
5.2546,242456
5.25842,337186
5.26223,475481
5.26603,651509
5.26985,841136
5.27367,1009239
5.27748,1124341
5.2813,1163024
5.2851,1116789
5.28892,1001756
5.29273,849249
5.29655,689217
5.30035,543498
5.30417,423817
5.30798,331959
5.3118,264725
5.3156,217709
5.31942,184537
5.32323,160488
5.32705,143656
5.33085,134519
5.33467,132283
5.33848,135594
5.3423,143035
5.3461,151765
5.34992,157792
5.35373,158978
5.35755,155082
5.36135,147112
5.36517,135782
5.36898,123211
5.3728,110799
5.3766,100774
5.38042,98112
5.38423,110456
5.38805,147269
5.39187,219025
5.39567,334410
5.39948,497553
5.4033,699446
5.40712,912209
5.41092,1093192
5.41473,1206103
5.41855,1233430
5.42237,1177166
5.42617,1055720
5.42998,900561
5.4338,748507
5.43762,623233
5.44142,534391
5.44523,488221
5.44905,483216
5.45287,513379
5.45667,577317
5.46048,669041
5.4643,780264
5.46812,895329
5.47192,991893
5.47573,1048609
5.47955,1052711
5.48337,1007291
5.48717,931057
5.49098,851306
5.4948,790944
5.49862,760423
5.50242,755186
5.50623,761521
5.51005,761445
5.51387,739447
5.51768,692456
5.52148,623915
5.5253,545841
5.52912,470861
5.53293,408094
5.53673,361723
5.54055,330576
5.54437,308378
5.54818,288453
5.55198,267471
5.5558,245869
5.55962,224680
5.56343,207424
5.56723,198749
5.57105,201362
5.57487,216051
5.57868,240930
5.58248,270752
5.5863,303028
5.59012,333243
5.59393,353472
5.59773,358145
5.60155,345677
5.60537,317884
